"Jan 30, 2017",3231,"Moore's Toronto, ON"
"Feb 21, 2017",2312,"Aritzia Montreal, ON"
"Mar 31, 2017",13.24,"Dollarama Richmond Hill, ON"
"Apr 25, 2017",29.99,"Best Buy Markham, ON"
"May 12, 2017",1231283192841,"Dollarama Richmond Hill, ON"
"Jun 2, 2017",348.99,"Telus Markham, ON"
"Jul 1, 2017",200,"Sobey's Toronto, ON"
"Aug 8, 2017",1,"Dollarama Richmond Hill, ON"
"Sept 10, 201",0.1,"7-Eleven Toronto, ON"
"Oct 26, 2017",12,"Walmart Montreal, ON"
"Nov 22, 2017",13.45,"Target Montreal, ON"
"Dec 19, 2017",234.23,"Canadian Tire Ottawa, ON"
"Mar 31, 2016",454.12,"Freshco Ottawa, ON"
"Mar 4, 2016",34554.99,"Rogers Ottawa, ON"
"Apr 19, 2016",765,"Best Buy Ottawa, ON"
"Jun 6, 2016",999,"Dollarama Orlando, FL"
"Aug 23, 2016",69.87,"Winners Kanata, ON"
"Sept 11, 2016",23,"Walmart Montreal, ON"
"Sept 12, 2016",12.37,"Tim Horton's Ottawa, ON"
"Oct 13, 2016",234234,"McDonald's Peterborough, ON"
"Nov 24, 2016",4765.21,"Walmart Ottawa, ON"
"Nov 19, 2016",343,"Sears Ottawa, ON"
"Dec 1, 2016",88.99,"Roots Canada Kanata, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
"Dec 31, 2016",32.43,"Loblaws Ottawa, ON"
